Quantity,Level/Category,Common Code,Name,Conversion Factor,Symbol,Description
atomic attenuation coefficient,1,MTK,square metre,m²,m²,
"slowing down area, diffusion area, migration area",1,MTK,square metre,m²,m²,
"half-thickness, half-value thickness",1,MTR,metre,m,m,
"mean linear range, mean free path",1,MTR,metre,m,m,
"slowing-down length, diffusion length, migration length",1,MTR,metre,m,m,
"neutron yield per fission, neutron yield per absorption",1,C62,one,1,1,Synonym: unit
fast fission factor,1,C62,one,1,1,Synonym: unit
thermal utilization factor,1,C62,one,1,1,Synonym: unit
non leakage probability,1,C62,one,1,1,Synonym: unit
"multiplication factor, infinite medium multiplication factor, effective multiplication factor",1,C62,one,1,1,Synonym: unit
"diffusion coefficient for neutron fluence rate, (diffusion coefficient for neutron flux density)",1,MTR,metre,m,m,
total linear stopping power,1,B12,joule per metre,J/m,J/m,
total linear stopping power,1,A54,electronvolt per metre,"1,602 176 487 x 10⁻¹⁹ J/m",eV/m,
total linear stopping power,2,A58,erg per centimetre,10⁻⁵ J/m,erg/cm,
total atomic stopping power,1,D73,joule square metre,J x m²,J·m²,
total atomic stopping power,1,A55,electronvolt square metre,"1,602 176 487 x 10⁻¹⁹ J x m²",eV·m²,
total atomic stopping power,2,A66,erg square centimetre,10⁻¹¹ J x m²,erg·cm²,
total mass stopping power,1,B20,joule square metre per kilogram,J x m²/kg,J·m²/kg,
total mass stopping power,1,A56,electronvolt square metre per kilogram,"1,602 176 487 x 10⁻¹⁹ J x m²/kg",eV·m²/kg,
total mass stopping power,2,A67,erg square centimetre per gram,10⁻⁸ J x m²/kg,erg·cm²/g,
mean mass range,1,28,kilogram per square metre,kg/m²,kg/m²,
"linear ionization by a particle, total ionization by a particle",1,C92,reciprocal metre,m⁻¹,m⁻¹,
mobility,1,D26,square metre per volt second,m²/(V x s),m²/(V·s),
mobility,1,H58,metre per volt second,m⁻¹ x kg⁻¹ x s² x A,m/(V·s),
"ion number density, ion density, neutron number density",1,C86,reciprocal cubic metre,m⁻³,m⁻³,
recombination coefficient,1,MQS,cubic metre per second,m³/s,m³/s,
neutron speed,1,MTS,metre per second,m/s,m/s,
"diffusion coefficient, diffusion coefficient for neutron number density",1,S4,square metre per second,m²/s,m²/s,Synonym: metre squared per second (square metres/second US)
neutron source density,1,C98,reciprocal second per cubic metre,s⁻¹/m³,s⁻¹/m³,
slowing down density,1,C87,reciprocal cubic metre per second,m⁻³/s,m⁻³/s,Synonym: reciprocal second per cubic metre
resonance escape probability,1,C62,one,1,1,Synonym: unit
lethargy,1,C62,one,1,1,Synonym: unit
average logarithmic energy decrement,1,C62,one,1,1,Synonym: unit
reactivity,1,C62,one,1,1,Synonym: unit
reactor time constant,1,SEC,second [unit of time],s,s,
activity,1,BQL,becquerel,"27,027 x 10⁻¹² Ci",Bq,
activity,2,CUR,curie,"3,7 x 10¹⁰ Bq",Ci,
"energy imparted, mean energy imparted",1,JOU,joule,J,J,
"specific energy imparted, massic energy imparted",1,A95,gray,m²/s²,Gy,
"specific energy imparted, massic energy imparted",1S,C13,milligray,10⁻³ Gy,mGy,
absorbed dose,2,C80,rad,10⁻² Gy,rad,
kerma,2,A61,erg per gram,10⁻⁴ J/kg,erg/g,
dose equivalent,1,D13,sievert,m²/s²,Sv,
dose equivalent,1S,C28,millisievert,10⁻³ Sv,mSv,
dose equivalent,2,D91,rem,10⁻² Sv,rem,
dose equivalent,2,L31,milliroentgen aequivalent men,10⁻⁵ Sv,mrem,
absorbed dose rate,1,A96,gray per second,m²/s³,Gy/s,
kerma rate,2,A62,erg per gram second,10⁻⁴ W/kg,erg/g·s,
linear energy transfer,1,B12,joule per metre,J/m,J/m,
linear energy transfer,1,A54,electronvolt per metre,"1,602 176 487 x 10⁻¹⁹ J/m",eV/m,
linear energy transfer,2,A58,erg per centimetre,10⁻⁵ J/m,erg/cm,
mass energy transfer coefficient,1,D21,square metre per kilogram,m²/kg,m²/kg,
exposure,1,CKG,coulomb per kilogram,A x s/kg,C/kg,
exposure,1S,C8,millicoulomb per kilogram,10⁻³ C/kg,mC/kg,
exposure,2,2C,roentgen,"2,58 x 10⁻⁴ C/kg",R,
exposure,2,2Y,milliroentgen,"2,58 x 10⁻⁷ C/kg",mR,
exposure,2,J53,coulomb square metre per kilogram,C x m²/kg,C·m²/kg,
exposure,2,KR,kiloroentgen,"2,58 x 10⁻¹ C/kg",kR,
exposure rate,1,A31,coulomb per kilogram second,A/kg,C/(kg·s),
exposure rate,2,D6,roentgen per second,"2,58 x 10⁻⁴ C/(kg x s)",R/s,
absorbed dose rate,1M,P54,milligray per second,10⁻³ Gy/s,mGy/s,"0,001-fold of the derived SI unit gray divided by the SI base unit second."
absorbed dose rate,1M,P55,microgray per second,10⁻⁶ Gy/s,µGy/s,"0,000 001-fold of the derived SI unit gray divided by the SI base unit second."
absorbed dose rate,1M,P56,nanogray per second,10⁻⁹ Gy/s,nGy/s,"0,000 000 001-fold of the derived SI unit gray divided by the SI base unit second."
absorbed dose rate,1M,P57,gray per minute,"1,666 67 × 10⁻² Gy/s",Gy/min,SI derived unit gray divided by the unit minute.
absorbed dose rate,1M,P58,milligray per minute,"1,666 67 × 10⁻⁵ Gy/s",mGy/min,"0,001-fold of the derived SI unit gray divided by the unit minute."
absorbed dose rate,1M,P59,microgray per minute,"1,666 67 × 10⁻⁸ Gy/s",µGy/min,"0,000 001-fold of the derived SI unit gray divided by the unit minute."
absorbed dose rate,1M,P60,nanogray per minute,"1,666 67 × 10⁻¹¹ Gy/s",nGy/min,"0,000 000 001-fold of the derived SI unit gray divided by the unit minute."
absorbed dose rate,1M,P61,gray per hour,"2,777 78 × 10⁻⁴ Gy/s",Gy/h,SI derived unit gray divided by the unit hour.
absorbed dose rate,1M,P62,milligray per hour,"2,777 78 × 10⁻⁷ Gy/s",mGy/h,"0,001-fold of the derived SI unit gray divided by the unit hour."
absorbed dose rate,1M,P63,microgray per hour,"2,777 78 × 10⁻¹⁰ Gy/s",µGy/h,"0,000 001-fold of the derived SI unit gray divided by the unit hour."
absorbed dose rate,1M,P64,nanogray per hour,"2,777 78 × 10⁻¹³ Gy/s",nGy/h,"0,000 000 001-fold of the derived SI unit gray divided by the unit hour."
equivalence dose output,2,P65,sievert per second,Sv/s,Sv/s,Derived SI unit sievert divided by the SI base unit second.
equivalence dose output,2,P66,millisievert per second,10⁻³ Sv/s,mSv/s,"0,001-fold of the derived SI unit sievert divided by the SI base unit second."
equivalence dose output,2,P67,microsievert per second,10⁻⁶ Sv/s,µSv/s,"0,000 001-fold of the derived SI unit sievert divided by the SI base unit second."
equivalence dose output,2,P68,nanosievert per second,10⁻⁹ Sv/s,nSv/s,"0,000 000 001-fold of the derived SI unit sievert divided by the SI base unit second."
equivalence dose output,2,P69,rem per second,10⁻² Sv/s,rem/s,"Unit for the equivalent tin rate relating to DIN 1301-3:1979: 1 rem/s = 0,01 J/(kg·s) = 1 Sv/s."
equivalence dose output,2,P70,sievert per hour,"2,777 78 × 10⁻⁴ Sv/s",Sv/h,Derived SI unit sievert divided by the unit hour.
equivalence dose output,2,P71,millisievert per hour,"0,277 777 778 × 10⁻⁷ Sv/s",mSv/h,"0,001-fold of the derived SI unit sievert divided by the unit hour."
equivalence dose output,2,P72,microsievert per hour,"0,277 777 778 × 10⁻¹⁰ Sv/s",µSv/h,"0,000 001-fold of the derived SI unit sievert divided by the unit hour."
equivalence dose output,2,P73,nanosievert per hour,"0,277 777 778 × 10⁻¹³ Sv/s",nSv/h,"0,000 000 001-fold of the derived SI unit sievert divided by the unit hour."
equivalence dose output,2,P74,sievert per minute,"0,016 666 Sv/s",Sv/min,Derived SI unit sievert divided by the unit minute.
equivalence dose output,2,P75,millisievert per minute,"1,666 666 667 × 10⁻⁵ Sv/s",mSv/min,"0,001-fold of the derived SI unit sievert divided by the unit minute."
equivalence dose output,2,P76,microsievert per minute,"1,666 666 667 × 10⁻⁸ Sv/s",µSv/min,"0,000 001-fold of the derived SI unit sievert divided by the unit minute."
equivalence dose output,2,P77,nanosievert per minute,"1,666 666 667 × 10⁻¹¹ Sv/s",nSv/min,"0,000 000 001-fold of the derived SI unit sievert divided by the unit minute."
particle fluence,2,P78,reciprocal square inch,"1,550 003 x 10³ m⁻²",1/in²,Complement of the power of the unit inch according to the Anglo-American and Imperial system of units by exponent 2.
Reynolds number,1,C62,one,1,1,Synonym: unit
Euler number,1,C62,one,1,1,Synonym: unit
Froude number,1,C62,one,1,1,Synonym: unit
Grashof number,1,C62,one,1,1,Synonym: unit
Weber number,1,C62,one,1,1,Synonym: unit
Mach number,1,C62,one,1,1,Synonym: unit
Knudsen number,1,C62,one,1,1,Synonym: unit
Strouhal number,1,C62,one,1,1,Synonym: unit
Fourier number,1,C62,one,1,1,Synonym: unit
Peclet number,1,C62,one,1,1,Synonym: unit
Rayleigh number,1,C62,one,1,1,Synonym: unit
Nusselt number,1,C62,one,1,1,Synonym: unit
Stanton number,1,C62,one,1,1,Synonym: unit
Fourier number for mass transfer,1,C62,one,1,1,Synonym: unit
Peclet number for mass transfer,1,C62,one,1,1,Synonym: unit
Grashof number for mass transfer,1,C62,one,1,1,Synonym: unit
Nusselt number for mass transfer,1,C62,one,1,1,Synonym: unit
Stanton number for mass transfer,1,C62,one,1,1,Synonym: unit
Prandtl number,1,C62,one,1,1,Synonym: unit
Schmidt number,1,C62,one,1,1,Synonym: unit
Lewis number,1,C62,one,1,1,Synonym: unit
magnetic Reynolds number,1,C62,one,1,1,Synonym: unit
Alfven number,1,C62,one,1,1,Synonym: unit
Hartmann number,1,C62,one,1,1,Synonym: unit
Cowling number,1,C62,one,1,1,Synonym: unit
mobility ratio,1,C62,one,1,1,Synonym: unit
"lattice vector, fundamental lattice vector",1,MTR,metre,m,m,
"lattice plane spacing, Burgers vector",1,A11,angstrom,10⁻¹⁰ m,Å,
Bragg angle,1,C81,radian,rad,rad,
Bragg angle,1,DD,degree [unit of angle],"1,745 329 x 10⁻² rad",°,
order of reflexion,1,C62,one,1,1,Synonym: unit
"short-range order parameter, long-range order parameter",1,C62,one,1,1,Synonym: unit
"relaxation time, carrier life time",1,SEC,second [unit of time],s,s,
magnetic flux quantum,1,WEB,weber,Wb,Wb,
magnetic flux quantum,2,P53,unit pole ,"1,256 637 x 10⁻⁷ Wb",unit pole ,CGS (Centimetre-Gram-Second system) unit for magnetic flux of a magnetic pole (according to the interaction of identical poles of 1 dyn at a distance of a cm).
"particle position vector, equilibrium position vector of ion or atom, displacement vector of ion or atom",1,MTR,metre,m,m,
Debye-Walle factor,1,C62,one,1,1,Synonym: unit
"mean free path of phonons or electrons, London penetration depth, coherence length, diffusion length",1,MTR,metre,m,m,
"angular repetency, angular wave number",1,C92,reciprocal metre,m⁻¹,m⁻¹,
"Fermi angular repetency, Fermi angular wave number",1,C85,reciprocal angstrom,10¹⁰ m⁻¹,Å⁻¹,
"Debye angular repetency, Debye angular wave number",1,C84,radian per metre,rad/m,rad/m,
"angular reciprocal lattice vector, fundamental reciprocal lattice vector",1,C92,reciprocal metre,m⁻¹,m⁻¹,
Debye angular frequency,1,2A,radian per second,rad/s,rad/s,Refer ISO/TC12 SI Guide
Debye angular frequency,1,C97,reciprocal second,s⁻¹,s⁻¹,
"Debye temperature, Curie temperature, Néel temperature, Fermi temperature, Super conductor transition temperature",1,KEL,kelvin,K,K,Refer ISO 80000-5 (Quantities and units — Part 5: Thermodynamics)
spectral concentration of vibrational modes (in terms of angular frequency),1,D94,second per cubic metre radian,s/(rad x m³),s/(rad·m³),
Grüneisen parameter,1,C62,one,1,1,Synonym: unit
Madelung constant,1,C62,one,1,1,Synonym: unit
Landau-Ginzburg number,1,C62,one,1,1,Synonym: unit
density of states,1,C90,reciprocal joule per cubic metre,J⁻¹/m³,J⁻¹/m³,
density of states,1,C88,reciprocal electron volt per cubic metre,"6,241 46 x 10¹⁸ J⁻¹/m³",eV⁻¹/m³,
residual resistivity,1,C61,ohm metre,Ω x m,Ω·m,
Hall coefficient,1,A38,cubic metre per coulomb,m³/A x s,m³/C,
"thermoelectromotive force between substances a and b, Peltier coefficient for substances a and b",1,VLT,volt,V,V,
"thermodynamic critical magnetic flux density, lower critical magnetic flux density, upper critical magnetic flux density",1,D33,tesla,T,T,
Seebeck coefficient for substances a and b,1,D48,volt per kelvin,V/K,V/K,
Thompson coefficient,1S,D49,millivolt per kelvin,10⁻³ V/K,mV/K,
work function,1,JOU,joule,J,J,
Fermi energy,1,A53,electronvolt,"1,602 176 487 x 10⁻¹⁹ J",eV,
gap energy,1S,A70,femtojoule,10⁻¹⁵ J,fJ,
"donor ionization energy, acceptor ionization energy, exchange intergral, superconductor energy gap, electron affinity",1S,A13,attojoule,10⁻¹⁸ J,aJ,
Richardson constant,1,A6,ampere per square metre kelvin squared,A/(m² x K²),A/(m²·K²),
"electron number density, volumic electron number, hole number density, volumic hole number, donor number density, volumic donor number, intrinsic number density, volumic intrinsis number, acceptor number density, volumic acceptor number",1,C86,reciprocal cubic metre,m⁻³,m⁻³,
effective mass,1,KGM,kilogram,kg,kg,A unit of mass equal to one thousand grams.
burst index,1M,33,kilopascal square metre per gram,10⁶ m/s²,kPa·m²/g,
burst index,1,P79,pascal square metre per kilogram,m/s²,Pa/(kg/m²),"Unit of the burst index as derived unit for pressure pascal related to the substance, represented as a quotient from the SI base unit kilogram divided by the power of the SI base unit metre by exponent 2."
hardness index,1M,34,kilopascal per millimetre,10⁶ kg/(m² x s²),kPa/mm,
hardness index,1M,H42,pascal per metre,m⁻² kg x s⁻²,Pa/m,
hardness index,1M,H69,picopascal per kilometre,10⁻¹⁵ m⁻² x kg x s⁻²,pPa/km,
hardness index,1M,P80,millipascal per metre,10⁻³ kg/(m² x s²),mPa/m,"0,001-fold of the derived SI unit pascal divided by the SI base unit metre."
hardness index,1M,P81,kilopascal per metre,10³ kg/(m² x s²),kPa/m,1000-fold of the derived SI unit pascal divided by the SI base unit metre.
hardness index,1M,P82,hectopascal per metre,10² kg/(m² x s²),hPa/m,100-fold of the derived SI unit pascal divided by the SI base unit metre.
hardness index,2,P83,standard atmosphere per metre,"1,013 25 x 10⁵ kg/(m² x s²)",Atm/m,Outdated unit of the pressure divided by the SI base unit metre.
hardness index,2,P84,technical atmosphere per metre,"9,806 65 x 10⁴  kg/(m² x s²)",at/m,Obsolete and non-legal unit of the pressure which is generated by a 10 metre water column divided by the SI base unit metre.
hardness index,2,P85,torr per metre,"1,333 224 x 10² kg/(m² x s²)",Torr/m,CGS (Centimetre-Gram-Second system) unit of the pressure divided by the SI base unit metre.
hardness index,2,P86,psi per inch,"2,714 471 x 10⁵ kg/(m² x s²)",psi/in,Compound unit for pressure (pound-force according to the Anglo-American unit system divided by the power of the unit inch according to the Anglo-American and Imperial system of units with the exponent 2) divided by the unit inch according to the Anglo-American and Imperial system of units .
porosity,1M,35,millilitre per square centimetre second,10⁻² m/s,ml/(cm²·s),
porosity,1M,36,cubic foot per minute per square foot,,ft³/(min/ft²),Conversion factor required
porosity,1M,P87,cubic metre per second square metre,m/s,(m³/s)/m²,Unit of volume flow cubic meters by second related to the transmission surface in square metres.
frequency,2,OPM,oscillations per minute,1.667 x 10-2 /s,o/min,The number of oscillation per minute
"pressure, normal stress, shear stress, modulus of elasticity,shear modulus, modulus of rigidity, bulk modulus, modulus of compression",1S,KNM,kilonewton per square metre,103pascal,KN/m2,
Power flow rate,1M,Q35,megawatts per minute,1.667 × 104 W/s,MW/min,A unit of power defining the total amount of bulk energy transferred or consumer per minute
